Object ID,Map Label,Asset Name,Asset Type,Quantity,lat,lng
585,Trash Can,Trash Cans,Trash Can,19,"(37.7768695635,-122.435169615)"
595,Trash Can,Trash Cans,Trash Can,19,"(37.7765494292,-122.436022492)"
597,Trash Can,Trash Cans,Trash Can,19,"(37.7768119374,-122.435817143)"
598,Trash Can,Trash Cans,Trash Can,19,"(37.7766196804,-122.435695492)"
602,Trash Can,Trash Cans,Trash Can,19,"(37.7763033085,-122.435010848)"
603,Trash Can,Trash Cans,Trash Can,19,"(37.7758818731,-122.435482238)"
605,Trash Can,Trash Cans,Trash Can,19,"(37.7757541489,-122.435841777)"
606,Trash Can,Trash Cans,Trash Can,19,"(37.775928084,-122.435190854)"
609,Trash Can,Trash Cans,Trash Can,19,"(37.7758063441,-122.434784955)"
610,Trash Can,Trash Cans,Trash Can,19,"(37.7759199816,-122.434535646)"
618,Trash Can,Trash Cans,Trash Can,19,"(37.7764863703,-122.434617761)"
619,Trash Can,Trash Cans,Trash Can,19,"(37.7765155794,-122.43477621)"
620,Trash Can,Trash Cans,Trash Can,19,"(37.7764132107,-122.433652651)"
639,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7819665063,-122.42662414)"
664,Trash Can,Concrete Pathway Trash Can,Trash Can,2,"(37.7096232991,-122.447016648)"
667,Trash Can,Basketball Court Trash Can,Trash Can,1,"(37.7096537757,-122.44708553)"
669,Trash Can,Tennis Court Trash Can,Trash Can,1,"(37.7097526772,-122.44679421)"
679,Trash Can,Turf Trash Cans,Trash Can,1,"(37.7256759041,-122.393147432)"
680,Trash Can,Children's Play Area Trash Cans,Trash Can,1,"(37.7258560017,-122.393388364)"
681,Trash Can,Concrete Pathway Trash Cans,Trash Can,3,"(37.7733260193,-122.427062304)"
682,Trash Can,Concrete Pathway Trash Cans,Trash Can,3,"(37.7733414249,-122.426956659)"
683,Trash Can,Children's Play Area Trash Cans,Trash Can,1,"(37.7732501345,-122.426702291)"
688,Trash Can,Concrete Pathway Trash Cans,Trash Can,3,"(37.7732605888,-122.426410516)"
696,Trash Can,Parking Lot Trash Can,Trash Can,4,"(37.7834620551,-122.477732683)"
697,Trash Can,Parking Lot Trash Can,Trash Can,4,"(37.7834622501,-122.477721058)"
698,Trash Can,Parking Lot Trash Can,Trash Can,4,"(37.7834624384,-122.477709835)"
699,Trash Can,Parking Lot Trash Can,Trash Can,4,"(37.7834629639,-122.477697417)"
700,Trash Can,Concrete Paths Trash Can,Trash Can,2,"(37.7833089783,-122.477807609)"
701,Trash Can,Concrete Paths Trash Can,Trash Can,2,"(37.7832619468,-122.477803148)"
704,Trash Can,Picnic Area Trash Cans,Trash Can,1,"(37.8012767891,-122.416841817)"
714,Trash Can,Sharon Meadow Trash Can,Trash Can,10,"(37.7688946577,-122.456562896)"
715,Trash Can,Sharon Meadow Trash Can,Trash Can,10,"(37.7692453009,-122.456485056)"
716,Trash Can,Koret Playground Trash Can,Trash Can,3,"(37.7684045058,-122.457279541)"
717,Trash Can,Koret Playground Trash Can,Trash Can,3,"(37.7683668382,-122.45741034)"
718,Trash Can,Herschel-Spillman Carousel Trash Can,Trash Can,3,"(37.7681295331,-122.457862998)"
719,Trash Can,Herschel-Spillman Carousel Trash Can,Trash Can,3,"(37.7681653649,-122.457842762)"
720,Trash Can,Koret Playground Trash Can,Trash Can,3,"(37.7682192226,-122.457637083)"
